Date,Close/Last,Volume,Open,High,Low,Returns,Cumulative_Return
2024-05-03,406.66,17446720,402.28,407.15,401.86,,
2024-05-02,397.84,17709360,397.66,399.93,394.6515,-0.02168888014557624,0.9783111198544238
2024-05-01,394.94,23562480,392.61,401.7199,390.31,-0.007289362557812096,0.9711798554074657
2024-04-30,389.33,28781370,401.49,402.16,389.17,-0.014204689319896713,0.9573845472876604
2024-04-29,402.25,19582090,405.25,406.32,399.19,0.033185215626846176,0.9891555599272119
2024-04-26,406.32,29694650,412.17,413.0,405.7601,0.010118085767557572,0.9991639207200119
2024-04-25,399.04,40586450,394.03,399.8899,388.03,-0.01791691277810581,0.9812619879014413
2024-04-24,409.06,15065330,409.56,412.47,406.78,0.025110264635124224,1.0059017360940345
2024-04-23,407.57,15734500,404.235,408.2,403.06,-0.00364249743313938,1.0022377416023216
2024-04-22,400.96,20286880,400.08,402.85,395.75,-0.016218072969060526,0.9859833767766687
2024-04-19,399.12,30565790,404.03,405.48,397.77,-0.004588986432561781,0.9814587124379092
2024-04-18,404.27,21029920,410.63,411.89,403.95,0.012903387452395165,0.9941228544730244
2024-04-17,411.84,15855490,417.25,418.88,410.33,0.01872510945655126,1.0127379137362909
2024-04-16,414.58,16765620,414.57,418.4,413.7301,0.006653069153069069,1.0194757291103134
2024-04-15,413.64,20273540,426.6,426.82,413.43,-0.0022673549134063498,1.0171642158068166
2024-04-12,421.9,19253750,424.05,425.1794,419.77,0.01996905521709702,1.0374760241971182
2024-04-11,427.93,17966420,425.82,429.37,422.36,0.01429248637117797,1.0523041361333794
2024-04-10,423.26,16216580,422.19,424.03,419.7,-0.010912999789685296,1.040820341317071
2024-04-09,426.28,12512290,426.44,427.74,421.62,0.007135094268298392,1.0482466925687308
2024-04-08,424.59,14272390,425.17,427.28,423.3,-0.003964530355634821,1.0440908867358483
2024-04-05,425.52,16554760,420.01,426.51,418.32,0.002190348336041925,1.0463778094722866
2024-04-04,417.88,19370880,424.99,428.67,417.57,-0.01795450272607635,1.0275906162396107
2024-04-03,420.45,16502260,419.73,423.26,419.085,0.006150090935196584,1.033910391973639
2024-04-02,421.44,17911990,420.11,422.38,417.84,0.0023546200499464653,1.0363448581124282
2024-04-01,424.57,16315960,423.95,427.89,422.22,0.007426917236142749,1.0440417056017313
